taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
Wuhan-Hu-1/2019,B,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Wuhan/WH01/2019,B,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Japan/DP0457/2020,B,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/FL-CDC-5091/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-S104/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-S292/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-UW80/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-UW70/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-UW129/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
CHL/2020-25343/2020,A,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/UT-QDX-2626/2020,A,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-UW190/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
AUS/VIC66/2020,B.4.5,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/MI-QDX-2199/2020,A,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/UT-QDX-2249/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Switzerland/GE-SNRCI-7895/2020,B,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
TWN/CGMH-CGU-12/2020,B.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CA-QDX-33/2020,B.6,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/MI-QDX-58/2020,A,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/UT-QDX-1828/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/NY-QDX-1928/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-UW330/2020,A.3,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CA-QDX-2083/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Scotland/GCVR-16FAD3/2020,B,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WI-UW-06/2020,A.4,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CA-QDX-775/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-UW-1846/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/MI-MDHHS-SC20223/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-72959/2020,B.3,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-73008/2020,B.23,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Iceland/1021/2020,B.3,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/NORT-281E1A/2020,B.31,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Iceland/1252/2020,B,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/BRIS-124E74/2020,B.40,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Scotland/GCVR-17134C/2020,B.40,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
NZL/20VR1774/2020,B.31,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
CHL/Santiago-PUC_MVL_0041/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Scotland/GCVR-1722C6/2020,B.1.222,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/NORT-29599A/2020,B.58,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-7A21A/2020,B.40,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-7A4C9/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-7905D/2020,B.40,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-7BC93/2020,A.2.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/BRIS-1235BC/2020,A.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/LEED-2AA640/2020,B.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/LA-BIE-094/2020,B.1.595,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-7EEE5/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/UT-01635/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WI-UW-136/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/CA-CZB-9533/2020,B,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-80BDA/2020,B.28,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WI-UW-302/2020,B.13,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/LEED-2A973F/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-S762/2020,A.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/UT-02131/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/LOND-D970B/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
FR993775,B,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/MA-DPH-00235/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Northern_Ireland/NIRE-103707/2020,B.40,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/NORT-28AE4E/2020,B.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
MEX/SEARCH-1702-TIJ/2020,B.1.241,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/FL-BPHL-1705/2020,B.1.595,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/FL-BPHL-0101/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
Scotland/EDB4727/2020,B.57,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/CAMB-1AE64D/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/TG670226/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
IND/GBRC94/2020,B.1.210,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/FL-BPHL-1404/2020,B.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-S1419/2020,B.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
LR963296,C.36,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/UT-04909/2020,B.1.426,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/WA-S2176/2020,B.1.1.291,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-59EB4D/2020,B.1.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-92C560/2020,B.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
England/ALDP-7210F3/2020,B.1.1,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
USA/1463xC12/2020,B.1.390,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
AUS/VIC4391/2020,D.2,,,,,,PANGO-v1.2.86,3.1.15,2021-10-13,v1.2.86,passed_qc,Assigned from designation hash.
